State,County,ZIP,Average of Latitude,Average of Longitude,EVs on the Road,EVs per 1k People,EVs per Level 2 Port,Current Population
New Jersey,Middlesex County,7001,40.58,-74.27,316,18.46,316,"17,121"
New Jersey,Hudson County,7002,40.66,-74.11,"1,250",17.47,625,"71,553"
New Jersey,Essex County,7003,40.81,-74.18,"1,112",20.68,79.43,"53,771"
New Jersey,Essex County,7004,40.88,-74.3,383,48.95,22.53,"7,824"
New Jersey,Morris County,7005,40.9,-74.4,604,39.46,,"15,307"
New Jersey,Essex County,7006,40.85,-74.28,955,35.83,119.38,"26,654"
New Jersey,Essex County,7007,40.83,-74.27,3,0,,
New Jersey,Middlesex County,7008,40.58,-74.22,459,17.98,,"25,526"
New Jersey,Essex County,7009,40.85,-74.22,596,44.03,85.14,"13,535"
New Jersey,Bergen County,7010,40.82,-73.99,795,30.84,,"25,781"
New Jersey,Passaic County,7011,40.88,-74.14,569,14.75,,"38,587"
New Jersey,Passaic County,7012,40.85,-74.16,408,27.84,68,"14,653"
New Jersey,Passaic County,7013,40.86,-74.15,745,24.18,149,"30,811"
New Jersey,Passaic County,7014,40.83,-74.14,176,35.38,,"4,975"
New Jersey,Passaic County,7015,40.86,-74.15,6,0,,
New Jersey,Union County,7016,40.65,-74.3,728,30.24,242.67,"24,074"
New Jersey,Essex County,7017,40.77,-74.21,286,6.99,,"40,910"
New Jersey,Essex County,7018,40.76,-74.21,250,8.64,62.5,"28,924"
New Jersey,Essex County,7019,40.76,-74.21,6,0,,
New Jersey,Bergen County,7020,40.82,-73.97,860,58.27,29.66,"14,759"
New Jersey,Essex County,7021,40.82,-74.28,142,60.14,,"2,361"
New Jersey,Bergen County,7022,40.81,-74,221,14.64,11.05,"15,099"
New Jersey,Union County,7023,40.64,-74.38,273,35,16.06,"7,799"
New Jersey,Bergen County,7024,40.85,-73.97,"1,948",48.67,97.4,"40,024"
New Jersey,Bergen County,7026,40.87,-74.1,487,14.86,243.5,"32,783"
New Jersey,Union County,7027,40.65,-74.32,108,22.11,,"4,885"
New Jersey,Essex County,7028,40.8,-74.2,476,59.34,238,"8,022"
New Jersey,Hudson County,7029,40.74,-74.15,517,22.61,86.17,"22,866"
New Jersey,Hudson County,7030,40.75,-74.03,987,16.82,23.5,"58,668"
New Jersey,Bergen County,7031,40.79,-74.12,287,17.44,,"16,461"
New Jersey,Hudson County,7032,40.75,-74.11,601,14.8,22.26,"40,614"
New Jersey,Union County,7033,40.67,-74.28,188,22.38,31.33,"8,401"
New Jersey,Morris County,7034,40.88,-74.38,300,27.23,,"11,018"
New Jersey,Morris County,7035,40.92,-74.3,297,26.71,49.5,"11,120"
New Jersey,Union County,7036,40.62,-74.23,627,13.73,313.5,"45,671"
New Jersey,Essex County,7039,40.78,-74.32,"2,898",92.04,99.93,"31,488"
New Jersey,Essex County,7040,40.73,-74.27,"1,206",47.09,67,"25,613"
New Jersey,Essex County,7041,40.72,-74.3,544,72.23,272,"7,532"
New Jersey,Essex County,7042,40.82,-74.21,"1,154",42.23,60.74,"27,326"
New Jersey,Essex County,7043,40.84,-74.2,928,70.01,232,"13,256"
New Jersey,Essex County,7044,40.83,-74.24,534,36.71,44.5,"14,545"
New Jersey,Morris County,7045,40.9,-74.36,694,65.71,231.33,"10,561"
New Jersey,Morris County,7046,40.89,-74.44,420,91.6,,"4,585"
New Jersey,Hudson County,7047,40.79,-74.03,"1,012",16.52,72.29,"61,250"
New Jersey,Essex County,7050,40.76,-74.23,254,7.43,25.4,"34,181"
New Jersey,Essex County,7051,40.76,-74.23,2,0,,
New Jersey,Essex County,7052,40.79,-74.26,"1,782",36.65,81,"48,620"
New Jersey,Morris County,7054,40.85,-74.4,"1,588",53.87,12.91,"29,480"
New Jersey,Passaic County,7055,40.85,-74.12,503,7.19,26.47,"70,002"
New Jersey,Bergen County,7057,40.85,-74.1,213,17.92,,"11,889"
New Jersey,Morris County,7058,40.86,-74.34,343,57.69,85.75,"5,946"
New Jersey,Somerset County,7059,40.63,-74.51,"1,441",85.72,480.33,"16,811"
New Jersey,Union County,7060,40.62,-74.42,500,10.34,125,"48,363"
New Jersey,Union County,7061,40.63,-74.4,23,0,,
New Jersey,Union County,7062,40.63,-74.4,192,12.47,,"15,399"
New Jersey,Union County,7063,40.61,-74.44,144,10.12,,"14,235"
New Jersey,Middlesex County,7064,40.57,-74.25,72,20.68,,"3,481"
New Jersey,Union County,7065,40.6,-74.28,490,16.27,13.24,"30,109"
New Jersey,Union County,7066,40.62,-74.31,396,25.35,99,"15,622"
New Jersey,Middlesex County,7067,40.59,-74.31,643,34.59,,"18,587"
New Jersey,Essex County,7068,40.82,-74.3,313,49.94,8.46,"6,268"
New Jersey,Somerset County,7069,40.64,-74.44,505,76.25,505,"6,623"
New Jersey,Bergen County,7070,40.81,-74.1,679,35.94,84.88,"18,894"
