ZIP,charger_count,ALAND_SQMI,charger_density,area_status
06611,1,NA,NA,Gap
07001,3,3.733,0.8036431824270024,Gap
07002,1,5.823,0.1717327837884252,Gap
07003,12,5.319,2.2560631697687534,Non-Gap
07004,8,10.126,0.7900454276120877,Gap
07005,2,18.309,0.10923589491506909,Gap
07006,3,9.343,0.3210960077063042,Gap
07008,2,4.397,0.4548555833522856,Gap
07009,4,4.249,0.9413979759943517,Gap
07012,1,2.193,0.45599635202918376,Gap
07013,3,4.428,0.6775067750677507,Gap
07014,1,1.435,0.6968641114982578,Gap
07016,3,4.745,0.6322444678609062,Gap
07018,3,1.662,1.8050541516245489,Non-Gap
07020,10,0.971,10.298661174047375,Non-Gap
07022,1,0.844,1.1848341232227488,Non-Gap
07023,5,1.34,3.731343283582089,Non-Gap
07024,8,2.513,3.1834460803820135,Non-Gap
07026,1,2.111,0.47370914258645186,Gap
07028,1,1.309,0.7639419404125287,Gap
07029,4,1.314,3.0441400304414,Non-Gap
07030,28,1.249,22.41793434747798,Non-Gap
07032,15,8.844,1.6960651289009498,Non-Gap
07033,3,2.147,1.3972985561248255,Non-Gap
07035,3,6.658,0.4505857614899369,Gap
07036,1,10.869,0.09200478424878093,Gap
07038,1,NA,NA,Gap
07039,14,13.772,1.0165553296543712,Non-Gap
07040,12,3.874,3.097573567372225,Non-Gap
07041,1,1.342,0.7451564828614009,Gap
07042,12,3.775,3.178807947019868,Non-Gap
07043,2,2.548,0.7849293563579278,Gap
07044,8,2.794,2.863278453829635,Non-Gap
07045,1,6.562,0.15239256324291373,Gap
07046,1,2.662,0.3756574004507889,Gap
07047,13,5.131,2.533619177548236,Non-Gap
07050,5,2.206,2.2665457842248413,Non-Gap
07052,15,12.017,1.2482316717982858,Non-Gap
07054,31,13.831,2.241341913093775,Non-Gap
07055,10,3.129,3.1959092361776924,Non-Gap
07058,3,2.956,1.0148849797023005,Non-Gap
07059,4,19.705,0.20299416391778738,Gap
07060,5,4.999,1.0002000400080016,Non-Gap
07062,1,1.923,0.5200208008320333,Gap
