ZIP,Total Population,ALAND_SQMI,popdensity
   NA,9343809,NA,NA
07001,17121,3.733,4586.3916421109025
07002,71553,5.823,12287.995878413189
07003,53771,5.319,10109.231058469637
07004,7824,10.126,772.6644282046218
07005,15307,18.309,836.0369217324812
07006,26654,9.343,2852.830996467944
07008,25526,4.397,5805.321810325221
07009,13535,4.249,3185.4554012708877
07010,25781,0.956,26967.573221757324
07011,38587,3.113,12395.438483777707
07012,14653,2.193,6681.71454628363
07013,30811,4.428,6958.220415537488
07014,4975,1.435,3466.8989547038327
07016,24074,4.745,5073.551106427819
07017,40910,2.262,18085.76480990274
07018,28924,1.662,17403.128760529482
07020,14759,0.971,15199.794026776519
07021,2361,1.408,1676.846590909091
07022,15099,0.844,17889.810426540284
07023,7799,1.34,5820.149253731343
07024,40024,2.513,15926.780740151215
07026,32783,2.111,15529.606821411651
07027,4885,0.65,7515.384615384615
07028,8022,1.309,6128.342245989305
07029,22866,1.314,17401.826484018264
07030,58668,1.249,46971.97758206565
07031,16461,2.484,6626.811594202899
07032,40614,8.844,4592.265943012212
07033,8401,2.147,3912.9017233348864
07034,11018,1.27,8675.590551181102
07035,11120,6.658,1670.1712225893662
07036,45671,10.869,4201.950501426074
07039,31488,13.772,2286.3781585826314
07040,25613,3.874,6611.5126484254
07041,7532,1.342,5612.518628912071
07042,27326,3.775,7238.675496688742
07043,13256,2.548,5202.511773940345
07044,14545,2.794,5205.798138869005
07045,10561,6.562,1609.417860408412
07046,4585,2.662,1722.389181066867
07047,61250,5.131,11937.244201909958
07050,34181,2.206,15494.56029011786
07052,48620,12.017,4045.9349255221773
07054,29480,13.831,2131.4438580001447
07055,70002,3.129,22372.003835091084
07057,11889,0.994,11960.764587525151
07058,5946,2.956,2011.5020297699593
07059,16811,19.705,853.133722405481
07060,48363,4.999,9674.534906981396
07062,15399,1.923,8007.80031201248
07063,14235,1.785,7974.789915966387
07064,3481,1.319,2639.120545868082
07065,30109,3.898,7724.217547460235
07066,15622,4.375,3570.7428571428572
07067,18587,4.03,4612.158808933003
07068,6268,3.618,1732.448866777225
07069,6623,6.331,1046.1222555678407
07070,18894,2.781,6793.959007551241
07071,22463,4.584,4900.305410122164
07072,6378,3.948,1615.501519756839
07073,10313,3.711,2779.0353004580975
07074,3126,1.095,2854.7945205479455
07075,10218,1.114,9172.351885098742
07076,24843,8.995,2761.867704280156
07077,3248,1.542,2106.355382619974
07078,14613,7.992,1828.4534534534534
07079,18539,2.851,6502.630655910207
07080,24411,8.221,2969.3467947938207
07081,17171,5.177,3316.7857832721656
07082,5723,6.071,942.6783067040027
07083,58170,8.726,6666.284666513866
07086,17295,0.794,21782.11586901763
07087,66463,1.305,50929.50191570882
07088,2901,0.324,8953.703703703703
07090,31111,6.738,4617.245473434253
07092,7049,3.994,1764.8973460190284
07093,63758,1.186,53758.853288364255
07094,21778,5.8,3754.8275862068967
07095,20756,4.608,4504.340277777778
07102,12358,1.131,10926.613616268789
07103,37293,2.152,17329.46096654275
07104,52266,2.531,20650.335835638085
07105,57093,4.639,12307.178271179133
07106,36383,1.417,25676.07621736062
07107,43293,1.649,26254.093389933292
07108,28790,1.379,20877.447425670776
07109,37984,3.302,11503.331314354937
07110,29980,3.374,8885.595732068761
07111,60867,2.914,20887.783115991762
07112,29456,1.359,21674.7608535688
07114,13670,7.894,1731.6949581960982
07201,28467,6.437,4422.401739940966
07202,44968,2.313,19441.418071768265
07203,22646,2.635,8594.307400379508
07204,14093,1.225,11504.489795918367
07205,22349,2.766,8079.8987707881415
07206,31930,1.777,17968.486212718064
07208,31937,1.792,17821.986607142855
07302,56220,1.433,39232.37962316818
07304,51306,2.055,24966.423357664233
07305,72161,5.7,12659.824561403508
07306,54017,2.987,18084.030800133914
07307,42645,1.905,22385.826771653545
07310,16015,0.611,26211.12929623568
07311,1714,0.054,31740.74074074074
07401,6865,3.091,2220.9640892914913
07403,7685,6.1,1259.8360655737706
07405,17983,19.82,907.3158425832493
07407,21412,2.643,8101.399924328415
07410,35610,5.135,6934.761441090555
07416,5851,12.162,481.0886367373787
07417,11112,9.421,1179.4926228638149
07418,2559,4.611,554.9772283669487
07419,9693,17.058,568.2377769961308
07420,5316,2.405,2210.3950103950106
07421,6977,22.528,309.7034801136364
07422,5280,17.538,301.06055422511116
07423,4270,1.739,2455.434157561817
07424,28085,5.719,4910.823570554292
07430,25491,25.401,1003.5431675918271
07432,7019,1.561,4496.476617552851
07435,2703,12.594,214.6260123868509
07436,12740,8.503,1498.2947195107608
07438,11160,30.041,371.49229386505107
07439,2160,2.204,980.0362976406533
07440,4670,1.548,3016.7958656330748
07442,11047,2.884,3830.4438280166437
07444,10971,5.22,2101.7241379310344
07446,14805,5.499,2692.3076923076924
07450,26308,5.751,4574.508781081551
07452,12154,2.703,4496.485386607474
07456,11657,25.588,455.5651086446772
07457,4112,2.026,2029.6150049358343
07458,11828,10.169,1163.142885239453
07460,3181,28.579,111.30550404142902
07461,18731,82.979,225.7318116631919
07462,7195,17.006,423.08596965776786
07463,10164,2.046,4967.741935483871
07465,5921,8.361,708.1688793206554
07470,54112,23.875,2266.471204188482
07480,14966,33.055,452.76055059748904
07481,17050,6.593,2586.0761413620507
07501,35481,1.8,19711.666666666668
07502,17158,0.859,19974.388824214202
07503,19170,1.546,12399.74126778784
07504,13123,0.832,15772.836538461539
07505,4691,0.245,19146.938775510203
07506,19628,3.318,5915.611814345992
07508,23762,5.031,4723.116676605049
07512,10959,3.96,2767.4242424242425
07513,11576,0.568,20380.281690140848
07514,20647,0.928,22248.9224137931
07522,23040,0.876,26301.369863013697
07524,13808,0.758,18216.35883905013
07601,46057,4.198,10971.176750833729
07603,9360,0.758,12348.284960422163
07604,12115,1.539,7871.994801819364
07605,9379,1.507,6223.623092236231
07606,2770,0.733,3778.9904502046384
07607,10093,1.287,7842.2688422688425
07608,136,1.711,79.48568088836937
07620,1588,6.401,248.0862365255429
07621,28450,2.906,9790.089470061941
07624,8606,3.16,2723.417721518987
07626,9174,2.065,4442.6150121065375
07627,4911,2.072,2370.173745173745
07628,18279,1.949,9378.655720882503
07630,7305,2.231,3274.3164500224116
07631,29638,4.946,5992.317023857663
07632,5362,2.126,2522.107243650047
07640,4954,1.846,2683.640303358613
07641,3363,1.937,1736.189984512132
07642,10144,2.902,3495.52033080634
07643,10996,1.477,7444.82058226134
07644,26082,2.272,11479.753521126762
07645,8901,4.023,2212.5279642058167
07646,16995,2.283,7444.152431011827
07647,5288,2.268,2331.5696649029983
07648,5724,2.785,2055.296229802513
07649,8235,2.411,3415.595188718374
07650,20290,1.239,16376.109765940273
07652,26568,10.445,2543.6093824796553
07656,9406,2.607,3607.978519370924
07657,11498,2.543,4521.431380259536
07660,13235,1.705,7762.463343108504
07661,12091,1.826,6621.57721796276
07662,5869,0.991,5922.300706357215
07663,14419,2.692,5356.240713224368
07666,41876,6.041,6931.964906472438
07670,15319,4.586,3340.383776711731
07675,27349,9.644,2835.8564910825385
07676,9323,2.953,3157.1283440568914
07677,6152,3.376,1822.2748815165878
07701,24376,9.154,2662.8796154686474
07702,4179,2.161,1933.826931975937
07703,0,0.677,0
07704,6170,1.604,3846.6334164588525
07711,1641,0.647,2536.3214837712517
07712,40194,12.228,3287.046123650638
07716,8893,4.407,2017.9260267755842
07717,2030,0.426,4765.258215962442
07718,6658,2.07,3216.425120772947
07719,22138,12.689,1744.660729765939
07720,4158,0.608,6838.815789473684
07721,4277,0.912,4689.69298245614
07722,9990,34.543,289.2047592855282
07723,884,1.643,538.0401704199635
07724,24016,12.125,1980.701030927835
07726,44764,33.081,1353.1634472960309
07727,7787,25.502,305.3486001097953
07728,55984,49.612,1128.436668547932
07730,17534,5.197,3373.8695401192995
07731,40322,31.78,1268.785399622404
07732,4527,3.773,1199.8409753511794
07733,17166,17.773,965.8470714004388
07734,12925,1.698,7611.896348645466
07735,19159,4.855,3946.240988671472
07737,3945,2.624,1503.4298780487804
07738,6939,5.63,1232.5044404973357
07739,6105,2.701,2260.27397260274
07740,32917,5.277,6237.824521508433
07746,18476,12.375,1493.010101010101
07747,32330,12.791,2527.558439527793
07748,28633,13,2202.5384615384614
07750,3207,1.042,3077.735124760077
07751,21109,16.639,1268.645952280786
07753,37297,15.956,2337.490599147656
07755,5613,2.934,1913.087934560327
07756,3092,0.373,8289.544235924934
07757,6195,2.85,2173.684210526316
07758,4076,1.6,2547.5
07760,9692,8.467,1144.6793433329397
07762,8262,2.821,2928.748670684154
07764,8586,2.856,3006.3025210084033
07801,27128,12.952,2094.5027794935145
07803,4048,2.936,1378.7465940054497
07820,0,1.489,0
07821,9662,42.781,225.84792314345154
07822,827,7.378,112.08999728923827
07823,7451,25.075,297.14855433698904
07825,9210,84.932,108.43969293081524
07826,5967,58.249,102.43952685883019
07827,4109,53.098,77.38521224904893
07828,15461,14.167,1091.3390273170044
07830,7379,26.015,283.64405150874495
07831,36,0.122,295.08196721311475
07832,3593,42.054,85.43777048556618
07833,70,0.308,227.27272727272728
07834,18385,11.608,1583.8215024121296
07836,11694,14.472,808.0431177446103
07838,3727,25.899,143.90517008378703
07840,32105,37.331,860.0091077120891
07842,56,0.252,222.22222222222223
07843,11098,3.887,2855.1582197067146
07844,111,0.226,491.1504424778761
07846,45,0.082,548.780487804878
07847,1776,2.423,732.9756500206356
07848,4257,22.916,185.76540408448244
07849,8380,6.741,1243.139000148346
07850,6828,2.783,2453.4674811354653
07851,263,11.441,22.98750109256184
07852,4233,3.614,1171.278361925844
07853,12339,32.526,379.35805201992247
07856,4774,3.433,1390.6204485872415
07857,3728,1.044,3570.8812260536397
07860,26047,100.175,260.01497379585726
07863,3819,19.899,191.91919191919192
07865,2825,16.539,170.80839228490234
07866,22663,23.008,985.0052155771906
07869,26022,20.065,1296.8851233491152
07870,34,0.926,36.7170626349892
07871,21437,38.115,562.429489702217
07874,8752,8.461,1034.3930977425837
