ZIP,MHI,Minority,popdensity,EVs.per.1k.People,Public transportation,area_status
New Jersey,103556,0.4602109268286627,NA,NA,0.08123203575793908,NA
07001,101670,0.6899129723731091,4586.3916421109025,18.46,0.07299750098645272,Gap
07002,83887,0.5342333654773386,12287.995878413189,17.47,0.1991767400063774,Gap
07003,103663,0.5738781127373491,10109.231058469637,20.68,0.1163685453931826,Non-Gap
07004,115980,0.17753067484662577,772.6644282046218,48.95,0.05035971223021583,Gap
07005,132629,0.2437446919709937,836.0369217324812,39.46,0.01332662811164194,Gap
07006,149102,0.2592856606888272,2852.830996467944,35.83,0.05218079746653231,Gap
07008,97021,0.7899396693567343,5805.321810325221,17.98,0.06854575163398693,Gap
07009,151625,0.22312523088289615,3185.4554012708877,44.03,0.1038515515359426,Gap
07010,93452,0.5426088980256778,26967.573221757324,30.84,0.2040672663277278,NA
07011,74194,0.6152590250602534,12395.438483777707,14.75,0.07917888563049853,NA
07012,101737,0.3955503992356514,6681.71454628363,27.84,0.1546048062230865,Gap
07013,116273,0.41767550550128196,6958.220415537488,24.18,0.07662884100471758,Gap
07014,119545,0.455678391959799,3466.8989547038327,35.38,0.08237476808905381,Gap
07016,155972,0.14692199052920163,5073.551106427819,30.24,0.1127801429833722,Gap
07017,58853,0.9653141041310194,18085.76480990274,6.99,0.1843152426218636,NA
07018,62564,0.977561886322777,17403.128760529482,8.64,0.2304292029088835,Non-Gap
07020,124050,0.5972626871739277,15199.794026776519,58.27,0.2299364556366204,Non-Gap
07021,250001,0.23845828038966543,1676.846590909091,60.14,0.04545454545454546,NA
07022,63606,0.5767931651102722,17889.810426540284,14.64,0.1678614905992155,Non-Gap
07023,195529,0.2636235414796769,5820.149253731343,35,0.1017645636934977,Non-Gap
07024,107396,0.6111333200079951,15926.780740151215,48.67,0.2019574335870747,Non-Gap
07026,79700,0.4956532349083367,15529.606821411651,14.86,0.05697919807054568,Gap
07027,110670,0.3392016376663255,7515.384615384615,22.11,0.07787934186471664,NA
07028,247361,0.25130890052356025,6128.342245989305,59.34,0.2224084939927354,Gap
07029,88333,0.698023265984431,17401.826484018264,22.61,0.2789007494889848,Non-Gap
07030,180579,0.3156064634894662,46971.97758206565,16.82,0.3656329750212667,Non-Gap
07031,94201,0.3946297308790474,6626.811594202899,17.44,0.1196690748077371,NA
07032,79154,0.6351996848377407,4592.265943012212,14.8,0.1264800861141012,Non-Gap
07033,118611,0.4292346149267944,3912.9017233348864,22.38,0.04007588332938108,Non-Gap
07034,104663,0.49301143583227447,8675.590551181102,27.23,0.0305306905370844,NA
07035,123234,0.2739208633093525,1670.1712225893662,26.71,0.03763536303923309,Gap
07036,91882,0.640515863458212,4201.950501426074,13.73,0.06365979381443299,Gap
07039,229806,0.45900025406504064,2286.3781585826314,92.04,0.1194886511870597,Non-Gap
07040,173500,0.477726154687073,6611.5126484254,47.09,0.1982300884955752,Non-Gap
07041,202750,0.502655337227828,5612.518628912071,72.23,0.2386915410171224,Gap
07042,122847,0.49319329576227766,7238.675496688742,42.23,0.1359412873687046,Non-Gap
07043,250001,0.25037718768859385,5202.511773940345,70.01,0.16563179136914,Gap
07044,161843,0.1540735647989,5205.798138869005,36.71,0.09564606741573034,Non-Gap
07045,185078,0.37108228387463305,1609.417860408412,65.71,0.07419416364676712,Gap
07046,250001,0.22093784078516898,1722.389181066867,91.6,0.0581135449262405,Gap
07047,78911,0.7347265306122449,11937.244201909958,16.52,0.2147201352977526,Non-Gap
07050,52563,0.915040519586905,15494.56029011786,7.43,0.1861324041811847,Non-Gap
07052,129475,0.568593171534348,4045.9349255221773,36.65,0.1252971003010616,Non-Gap
07054,104214,0.5776119402985075,2131.4438580001447,53.87,0.03440094899169632,Non-Gap
07055,55371,0.8228336333247621,22372.003835091084,7.19,0.1194055405266582,Non-Gap
07057,85862,0.26991336529565146,11960.764587525151,17.92,0.0546984572230014,NA
07058,127805,0.4147325933400605,2011.5020297699593,57.69,0.002299605781865966,Non-Gap
07059,212479,0.33055737314853373,853.133722405481,85.72,0.03040161543639219,Gap
