Fuel Type Code,Station Name,Street Address,Intersection Directions,Municipality,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Element Hotels - Ewing,1000 Sam Weinroth Rd,,Ewing,NJ,8628,,609-671-0050,T,12/1/2024,TEMPORARILY UNAVAILABLE (Public),24 hours daily; for guest use only,,,,,,2,,,Non-Networked,,GPS,40.286518,-74.807516,10/11/2024,36368,2025-02-12 00:16:32 UTC,P,,,5/15/2010,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,HOTEL,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,PALMER SQUARE CHAMBERS GARAGE,25 Chambers St,ChargePoint Card Holders ONLY,Princeton,NJ,8542,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.350118,-74.662732,8/26/2026,41849,2026-08-26 01:19:33 UTC,,,,10/15/2011,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Elizabeth Parking Authority - J Christian Bollwage Garage,37 Caldwell Pl,Located on lower level of garage,Elizabeth,NJ,7201,,908-353-0949,E,,Public - Credit card at all times,Restricted to garage hours; pay lot,M V,,,,,2,,,Non-Networked,,200-9,40.663848,-74.216585,11/13/2025,42907,2026-02-02 23:16:24 UTC,LG,,,4/15/2012,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Route 23 Nissan,1301 Route 23,,Butler,NJ,7405,,973-838-0800,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,41.0057274,-74.3604885,1/13/2026,45666,2026-02-02 23:16:24 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Fred Beans Nissan - Flemington,172 US Highway 202,,Flemington,NJ,8822,,908-333-4556,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,GPS,40.48774,-74.86328,2/12/2024,45672,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Fred Beans Nissan - Flemington,172 US Highway 202,,Flemington,NJ,8822,,908-333-4556,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.48774,-74.86328,2/12/2024,45673,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,DCH Freehold Nissan,4041 Route 9 N,,Freehold,NJ,7728,,732-780-3600,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.262526,-74.291797,1/13/2026,45675,2026-02-02 23:16:24 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Route 33 Nissan,951 US Highway 33,,Hamilton Square,NJ,8690,,609-586-1900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.229274,-74.672155,2/12/2024,45678,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Route 17 Nissan,45 Route 17 S,,Hasbrouck Heights,NJ,7604,,201-796-5050,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.85083,-74.075111,1/13/2026,45681,2026-02-02 23:16:24 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Pine Belt Nissan / Keyport,111 NJ-36,,Keyport,NJ,7735,,732-264-4333,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.42644593,-74.20017947,1/13/2026,45685,2026-02-02 23:16:24 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
